ts_code,symbol,name,industry,market,list_date,name_hits,industry_hits,match_source
001318.SZ,001318,阳光乳业,乳制品,主板,20220520,乳业,乳制品,name+industry
002329.SZ,002329,皇氏集团,乳制品,主板,20100106,,乳制品,industry
002570.SZ,002570,贝因美,乳制品,主板,20110412,,乳制品,industry
002719.SZ,002719,麦趣尔,乳制品,主板,20140128,,乳制品,industry
002732.SZ,002732,燕塘乳业,乳制品,主板,20141205,乳业,乳制品,name+industry
002910.SZ,002910,庄园牧场,乳制品,主板,20171031,,乳制品,industry
002946.SZ,002946,新乳业,乳制品,主板,20190125,乳业,乳制品,name+industry
300106.SZ,300106,西部牧业,乳制品,创业板,20100820,,乳制品,industry
300892.SZ,300892,品渥食品,乳制品,创业板,20200924,食品,乳制品,name+industry
300898.SZ,300898,熊猫乳品,乳制品,创业板,20201016,乳品,乳制品,name+industry
300915.SZ,300915,海融科技,乳制品,创业板,20201202,,乳制品,industry
600419.SH,600419,天润乳业,乳制品,主板,20010628,乳业,乳制品,name+industry
600429.SH,600429,三元股份,乳制品,主板,20030915,,乳制品,industry
600597.SH,600597,光明乳业,乳制品,主板,20020828,乳业,乳制品,name+industry
600882.SH,600882,妙可蓝多,乳制品,主板,19951206,,乳制品,industry
600887.SH,600887,伊利股份,乳制品,主板,19960312,,乳制品,industry
605179.SH,605179,一鸣食品,乳制品,主板,20201228,食品,乳制品,name+industry
605300.SH,605300,佳禾食品,乳制品,主板,20210430,食品,乳制品,name+industry
605337.SH,605337,李子园,乳制品,主板,20210208,,乳制品,industry
605388.SH,605388,均瑶健康,乳制品,主板,20200818,,乳制品,industry
002582.SZ,002582,好想你,食品,,,好想你,食品,manual
