ts_code,symbol,name,industry,market,list_date,name_hits,industry_hits,match_source
001318.SZ,001318,阳光乳业,乳制品,主板,20220520,乳业,乳制品,name+industry
002329.SZ,002329,皇氏集团,乳制品,主板,20100106,,乳制品,industry
002570.SZ,002570,贝因美,乳制品,主板,20110412,,乳制品,industry
002719.SZ,002719,麦趣尔,乳制品,主板,20140128,,乳制品,industry
002732.SZ,002732,燕塘乳业,乳制品,主板,20141205,乳业,乳制品,name+industry
002910.SZ,002910,庄园牧场,乳制品,主板,20171031,,乳制品,industry
002946.SZ,002946,新乳业,乳制品,主板,20190125,乳业,乳制品,name+industry
300106.SZ,300106,西部牧业,乳制品,创业板,20100820,,乳制品,industry
300892.SZ,300892,品渥食品,乳制品,创业板,20200924,食品,乳制品,name+industry
300898.SZ,300898,熊猫乳品,乳制品,创业板,20201016,乳品,乳制品,name+industry
300915.SZ,300915,海融科技,乳制品,创业板,20201202,,乳制品,industry
600419.SH,600419,天润乳业,乳制品,主板,20010628,乳业,乳制品,name+industry
600429.SH,600429,三元股份,乳制品,主板,20030915,,乳制品,industry
600597.SH,600597,光明乳业,乳制品,主板,20020828,乳业,乳制品,name+industry
600882.SH,600882,妙可蓝多,乳制品,主板,19951206,,乳制品,industry
600887.SH,600887,伊利股份,乳制品,主板,19960312,,乳制品,industry
605179.SH,605179,一鸣食品,乳制品,主板,20201228,食品,乳制品,name+industry
605300.SH,605300,佳禾食品,乳制品,主板,20210430,食品,乳制品,name+industry
605337.SH,605337,李子园,乳制品,主板,20210208,,乳制品,industry
605388.SH,605388,均瑶健康,乳制品,主板,20200818,,乳制品,industry
002124.SZ,002124,天邦食品,农业综合,主板,20070403,食品,,name
000729.SZ,000729,燕京啤酒,啤酒,主板,19970716,啤酒,啤酒,name+industry
000752.SZ,000752,ST西发,啤酒,主板,19970625,,啤酒,industry
000929.SZ,000929,*ST兰黄,啤酒,主板,19990623,,啤酒,industry
001338.SZ,001338,永顺泰,啤酒,主板,20221116,,啤酒,industry
002461.SZ,002461,珠江啤酒,啤酒,主板,20100818,啤酒,啤酒,name+industry
600132.SH,600132,重庆啤酒,啤酒,主板,19971030,啤酒,啤酒,name+industry
600573.SH,600573,惠泉啤酒,啤酒,主板,20030226,啤酒,啤酒,name+industry
600600.SH,600600,青岛啤酒,啤酒,主板,19930827,啤酒,啤酒,name+industry
000430.SZ,000430,*ST张股,旅游景点,主板,19960829,,旅游,industry
000558.SZ,000558,天府文旅,旅游景点,主板,19940509,,旅游,industry
000888.SZ,000888,峨眉山Ａ,旅游景点,主板,19971021,,旅游,industry
000978.SZ,000978,桂林旅游,旅游景点,主板,20000518,旅游,旅游,name+industry
002033.SZ,002033,丽江股份,旅游景点,主板,20040825,,旅游,industry
002059.SZ,002059,云南旅游,旅游景点,主板,20060810,旅游,旅游,name+industry
002627.SZ,002627,三峡旅游,旅游景点,主板,20111103,旅游,旅游,name+industry
300144.SZ,300144,宋城演艺,旅游景点,创业板,20101209,,旅游,industry
600054.SH,600054,黄山旅游,旅游景点,主板,19970506,旅游,旅游,name+industry
600138.SH,600138,中青旅,旅游景点,主板,19971203,,旅游,industry
600576.SH,600576,祥源文旅,旅游景点,主板,20030220,,旅游,industry
600593.SH,600593,大连圣亚,旅游景点,主板,20020711,,旅游,industry
600706.SH,600706,曲江文旅,旅游景点,主板,19960516,,旅游,industry
600749.SH,600749,西藏旅游,旅游景点,主板,19961015,旅游,旅游,name+industry
603099.SH,603099,长白山,旅游景点,主板,20140822,,旅游,industry
603136.SH,603136,天目湖,旅游景点,主板,20170927,,旅游,industry
603199.SH,603199,九华旅游,旅游景点,主板,20150326,旅游,旅游,name+industry
603402.SH,603402,陕西旅游,旅游景点,主板,20260106,旅游,旅游,name+industry
000524.SZ,000524,岭南控股,旅游服务,主板,19931118,,旅游,industry
000610.SZ,000610,西安旅游,旅游服务,主板,19960926,旅游,旅游,name+industry
000796.SZ,000796,凯撒旅业,旅游服务,主板,19970703,,旅游,industry
002159.SZ,002159,三特索道,旅游服务,主板,20070817,,旅游,industry
002707.SZ,002707,众信旅游,旅游服务,主板,20140123,旅游,旅游,name+industry
300859.SZ,300859,西域旅游,旅游服务,创业板,20200806,旅游,旅游,name+industry
600185.SH,600185,珠免集团,旅游服务,主板,19990611,,旅游,industry
601888.SH,601888,中国中免,旅游服务,主板,20091015,,旅游,industry
000568.SZ,000568,泸州老窖,白酒,主板,19940509,,白酒,industry
000596.SZ,000596,古井贡酒,白酒,主板,19960927,,白酒,industry
000799.SZ,000799,酒鬼酒,白酒,主板,19970718,,白酒,industry
000858.SZ,000858,五粮液,白酒,主板,19980427,,白酒,industry
000860.SZ,000860,顺鑫农业,白酒,主板,19981104,,白酒,industry
000995.SZ,000995,皇台酒业,白酒,主板,20000807,,白酒,industry
002304.SZ,002304,洋河股份,白酒,主板,20091106,,白酒,industry
002646.SZ,002646,天佑德酒,白酒,主板,20111222,,白酒,industry
600197.SH,600197,伊力特,白酒,主板,19990916,,白酒,industry
600199.SH,600199,金种子酒,白酒,主板,19980812,,白酒,industry
600519.SH,600519,贵州茅台,白酒,主板,20010827,,白酒,industry
600559.SH,600559,老白干酒,白酒,主板,20021029,,白酒,industry
600696.SH,600696,*ST岩石,白酒,主板,19931206,,白酒,industry
600702.SH,600702,舍得酒业,白酒,主板,19960524,,白酒,industry
600779.SH,600779,水井坊,白酒,主板,19961206,,白酒,industry
600809.SH,600809,山西汾酒,白酒,主板,19940106,,白酒,industry
603198.SH,603198,迎驾贡酒,白酒,主板,20150528,,白酒,industry
603369.SH,603369,今世缘,白酒,主板,20140703,,白酒,industry
603589.SH,603589,口子窖,白酒,主板,20150629,,白酒,industry
603919.SH,603919,XD金徽酒,白酒,主板,20160310,,白酒,industry
000869.SZ,000869,张裕Ａ,红黄酒,主板,20001026,,红黄酒,industry
002568.SZ,002568,百润股份,红黄酒,主板,20110325,,红黄酒,industry
600059.SH,600059,古越龙山,红黄酒,主板,19970516,,红黄酒,industry
600084.SH,600084,中信尼雅,红黄酒,主板,19970711,,红黄酒,industry
600238.SH,600238,*ST椰岛,红黄酒,主板,20000120,,红黄酒,industry
600543.SH,600543,莫高股份,红黄酒,主板,20040324,,红黄酒,industry
600616.SH,600616,金枫酒业,红黄酒,主板,19920929,,红黄酒,industry
601579.SH,601579,会稽山,红黄酒,主板,20140825,,红黄酒,industry
603779.SH,603779,威龙股份,红黄酒,主板,20160516,,红黄酒,industry
000848.SZ,000848,承德露露,软饮料,主板,19971113,,软饮料,industry
300997.SZ,300997,欢乐家,软饮料,创业板,20210602,,软饮料,industry
600189.SH,600189,泉阳泉,软饮料,主板,19981007,,软饮料,industry
600300.SH,600300,维维股份,软饮料,主板,20000630,,软饮料,industry
600962.SH,600962,国投中鲁,软饮料,主板,20040622,,软饮料,industry
603156.SH,603156,养元饮品,软饮料,主板,20180212,,软饮料,industry
603711.SH,603711,香飘飘,软饮料,主板,20171130,,软饮料,industry
605198.SH,605198,安德利,软饮料,主板,20200918,,软饮料,industry
605499.SH,605499,东鹏饮料,软饮料,主板,20210527,饮料,软饮料,name+industry
000428.SZ,000428,华天酒店,酒店餐饮,主板,19960808,酒店,"酒店,餐饮",name+industry
000721.SZ,000721,西安饮食,酒店餐饮,主板,19970430,饮食,"酒店,餐饮",name+industry
002186.SZ,002186,全聚德,酒店餐饮,主板,20071120,,"酒店,餐饮",industry
002306.SZ,002306,*ST云网,酒店餐饮,主板,20091111,,"酒店,餐饮",industry
301073.SZ,301073,君亭酒店,酒店餐饮,创业板,20210930,酒店,"酒店,餐饮",name+industry
600258.SH,600258,首旅酒店,酒店餐饮,主板,20000601,酒店,"酒店,餐饮",name+industry
600754.SH,600754,锦江酒店,酒店餐饮,主板,19961011,酒店,"酒店,餐饮",name+industry
601007.SH,601007,金陵饭店,酒店餐饮,主板,20070406,,"酒店,餐饮",industry
605108.SH,605108,同庆楼,酒店餐饮,主板,20200716,,"酒店,餐饮",industry
000505.SZ,000505,京粮控股,食品,主板,19921221,,食品,industry
000523.SZ,000523,红棉股份,食品,主板,19931108,,食品,industry
000529.SZ,000529,广弘控股,食品,主板,19931118,,食品,industry
000639.SZ,000639,西王食品,食品,主板,19961126,食品,食品,name+industry
000716.SZ,000716,黑芝麻,食品,主板,19970418,,食品,industry
000895.SZ,000895,双汇发展,食品,主板,19981210,,食品,industry
000911.SZ,000911,广农糖业,食品,主板,19990527,,食品,industry
000972.SZ,000972,*ST中基,食品,主板,20000926,,食品,industry
001215.SZ,001215,千味央厨,食品,主板,20210906,,食品,industry
001219.SZ,001219,青岛食品,食品,主板,20211021,食品,食品,name+industry
002216.SZ,002216,三全食品,食品,主板,20080220,食品,食品,name+industry
002286.SZ,002286,保龄宝,食品,主板,20090828,,食品,industry
002330.SZ,002330,得利斯,食品,主板,20100106,,食品,industry
002481.SZ,002481,双塔食品,食品,主板,20100921,食品,食品,name+industry
002495.SZ,002495,佳隆股份,食品,主板,20101102,,食品,industry
002507.SZ,002507,涪陵榨菜,食品,主板,20101123,,食品,industry
002515.SZ,002515,金字火腿,食品,主板,20101203,,食品,industry
002557.SZ,002557,洽洽食品,食品,主板,20110302,食品,食品,name+industry
002582.SZ,002582,好想你,食品,主板,20110520,,食品,industry
002597.SZ,002597,金禾实业,食品,主板,20110707,,食品,industry
002650.SZ,002650,ST加加,食品,主板,20120106,,食品,industry
002661.SZ,002661,克明食品,食品,主板,20120316,食品,食品,name+industry
002695.SZ,002695,煌上煌,食品,主板,20120905,,食品,industry
002702.SZ,002702,海欣食品,食品,主板,20121011,食品,食品,name+industry
002726.SZ,002726,龙大美食,食品,主板,20140626,,食品,industry
002820.SZ,002820,桂发祥,食品,主板,20161118,,食品,industry
002840.SZ,002840,华统股份,食品,主板,20170110,,食品,industry
002847.SZ,002847,盐津铺子,食品,主板,20170208,,食品,industry
002852.SZ,002852,道道全,食品,主板,20170310,,食品,industry
002956.SZ,002956,西麦食品,食品,主板,20190619,食品,食品,name+industry
002991.SZ,002991,甘源食品,食品,主板,20200731,食品,食品,name+industry
003000.SZ,003000,劲仔食品,食品,主板,20200914,食品,食品,name+industry
003030.SZ,003030,祖名股份,食品,主板,20210106,,食品,industry
300138.SZ,300138,晨光生物,食品,创业板,20101105,,食品,industry
300146.SZ,300146,汤臣倍健,食品,创业板,20101215,,食品,industry
300175.SZ,300175,ST朗源,食品,创业板,20110215,,食品,industry
300741.SZ,300741,华宝股份,食品,创业板,20180301,,食品,industry
300765.SZ,300765,新诺威,食品,创业板,20190322,,食品,industry
300783.SZ,300783,三只松鼠,食品,创业板,20190712,,食品,industry
300829.SZ,300829,金丹科技,食品,创业板,20200422,,食品,industry
300858.SZ,300858,科拓生物,食品,创业板,20200727,,食品,industry
300908.SZ,300908,仲景食品,食品,创业板,20201123,食品,食品,name+industry
300972.SZ,300972,万辰集团,食品,创业板,20210419,,食品,industry
300973.SZ,300973,立高食品,食品,创业板,20210415,食品,食品,name+industry
300999.SZ,300999,金龙鱼,食品,创业板,20201015,,食品,industry
301116.SZ,301116,益客食品,食品,创业板,20220118,食品,食品,name+industry
301206.SZ,301206,三元生物,食品,创业板,20220210,,食品,industry
600073.SH,600073,光明肉业,食品,主板,19970704,,食品,industry
600186.SH,600186,莲花控股,食品,主板,19980825,,食品,industry
600191.SH,600191,华资实业,食品,主板,19981210,,食品,industry
600298.SH,600298,安琪酵母,食品,主板,20000818,,食品,industry
600305.SH,600305,恒顺醋业,食品,主板,20010206,,食品,industry
600737.SH,600737,中粮糖业,食品,主板,19960731,,食品,industry
600872.SH,600872,中炬高新,食品,主板,19950124,,食品,industry
600873.SH,600873,梅花生物,食品,主板,19950217,,食品,industry
600929.SH,600929,雪天盐业,食品,主板,20180326,,食品,industry
603020.SH,603020,爱普股份,食品,主板,20150325,,食品,industry
603027.SH,603027,千禾味业,食品,主板,20160307,,食品,industry
603043.SH,603043,广州酒家,食品,主板,20170627,,食品,industry
603057.SH,603057,紫燕食品,食品,主板,20220926,食品,食品,name+industry
603079.SH,603079,圣达生物,食品,主板,20170823,,食品,industry
603170.SH,603170,宝立食品,食品,主板,20220715,食品,食品,name+industry
603182.SH,603182,嘉华股份,食品,主板,20220909,,食品,industry
603231.SH,603231,索宝蛋白,食品,主板,20231215,,食品,industry
603237.SH,603237,五芳斋,食品,主板,20220831,,食品,industry
603262.SH,603262,技源集团,食品,主板,20250723,,食品,industry
603288.SH,603288,海天味业,食品,主板,20140211,,食品,industry
603299.SH,603299,苏盐井神,食品,主板,20151231,,食品,industry
603317.SH,603317,天味食品,食品,主板,20190416,食品,食品,name+industry
603345.SH,603345,安井食品,食品,主板,20170222,食品,食品,name+industry
603517.SH,603517,ST绝味,食品,主板,20170317,,食品,industry
603536.SH,603536,惠发食品,食品,主板,20170613,食品,食品,name+industry
603696.SH,603696,安记食品,食品,主板,20151209,食品,食品,name+industry
603697.SH,603697,有友食品,食品,主板,20190508,食品,食品,name+industry
603719.SH,603719,良品铺子,食品,主板,20200224,,食品,industry
603755.SH,603755,日辰股份,食品,主板,20190828,,食品,industry
603777.SH,603777,来伊份,食品,主板,20161012,,食品,industry
603866.SH,603866,桃李面包,食品,主板,20151222,,食品,industry
603886.SH,603886,元祖股份,食品,主板,20161228,,食品,industry
605016.SH,605016,百龙创园,食品,主板,20210421,,食品,industry
605077.SH,605077,华康股份,食品,主板,20210209,,食品,industry
605089.SH,605089,味知香,食品,主板,20210427,,食品,industry
605338.SH,605338,巴比食品,食品,主板,20201012,食品,食品,name+industry
605339.SH,605339,南侨食品,食品,主板,20210518,食品,食品,name+industry
605567.SH,605567,春雪食品,食品,主板,20211013,食品,食品,name+industry
